order_id,customer_id,country_code,product,quantity,unit_price_eur,amount_eur,order_date,status
ORD-050000,CUST-1111,PT,Pro Plan,2,452.04,904.08,2024-05-07,paid
ORD-050001,CUST-1049,US,Pro Plan,4,188.59,754.36,2024-08-05,shipped
ORD-050002,CUST-1058,ES,Storage GB,2,178.31,356.62,2024-08-26,paid
ORD-050003,CUST-1109,ES,Pro Plan,8,344.41,2755.28,2024-11-22,shipped
ORD-050004,CUST-1037,MX,Support,9,350.07,3150.63,2025-05-16,paid
ORD-050005,CUST-1114,MX,Training,6,28.6,171.6,2024-06-12,paid
ORD-050006,CUST-1048,BR,Storage GB,8,114.87,918.96,2024-11-27,paid
ORD-050007,CUST-1115,DE,Add-on Seat,1,73.88,73.88,2024-02-12,refunded
ORD-050008,CUST-1115,DE,Pro Plan,6,385.64,2313.84,2025-04-29,paid
ORD-050009,CUST-1058,ES,Storage GB,10,93.31,933.1,2024-04-03,paid
ORD-050010,CUST-1069,IT,Training,4,455.99,1823.96,2024-12-12,paid
ORD-050011,CUST-1110,MX,Storage GB,7,326.66,2286.62,2025-04-30,paid
ORD-050012,CUST-1072,DE,Storage GB,2,464.13,928.26,2024-06-15,paid
ORD-050013,CUST-1026,DE,Support,10,401.66,4016.6,2024-11-29,shipped
ORD-050014,CUST-1082,ES,Team Plan,5,335.87,1679.35,2024-12-15,shipped
ORD-050015,CUST-1006,DE,Team Plan,1,400.76,400.76,2025-01-25,shipped
ORD-050016,CUST-1093,AR,Support,2,247.47,494.94,2025-05-05,refunded
ORD-050017,CUST-1043,GB,Support,1,85.81,85.81,2024-04-01,paid
ORD-050018,CUST-1063,ES,Training,6,172.23,1033.38,2024-11-20,paid
ORD-050019,CUST-1006,DE,Support,5,354.71,1773.55,2024-03-31,shipped
ORD-050020,CUST-1073,ES,Support,7,168.28,1177.96,2024-08-03,paid
ORD-050021,CUST-1113,IT,Add-on Seat,3,282.75,848.25,2024-01-01,paid
ORD-050022,CUST-1103,DE,Training,6,335.07,2010.42,2025-08-05,refunded
ORD-050023,CUST-1057,PT,Add-on Seat,9,232.57,2093.13,2024-06-20,shipped
ORD-050024,CUST-1066,FR,Training,5,50.24,251.2,2024-10-31,shipped
ORD-050025,CUST-1011,BR,Training,7,17.03,119.21,2024-09-14,shipped
ORD-050026,CUST-1021,FR,Team Plan,6,371.63,2229.78,2025-01-26,shipped
ORD-050027,CUST-1022,MX,Pro Plan,8,137.37,1098.96,2025-05-28,paid
ORD-050028,CUST-1105,BR,Team Plan,1,346.73,346.73,2025-08-17,shipped
ORD-050029,CUST-1032,FR,Training,1,461.25,461.25,2024-03-15,paid
ORD-050030,CUST-1054,MX,Pro Plan,9,116.27,1046.43,2024-10-31,shipped
ORD-050031,CUST-1067,PT,Add-on Seat,4,254.89,1019.56,2024-07-23,shipped
ORD-050032,CUST-1093,AR,Team Plan,3,379.92,1139.76,2025-06-04,shipped
ORD-050033,CUST-1089,BR,Add-on Seat,9,335.89,3023.01,2024-02-22,paid
ORD-050034,CUST-1020,DE,Add-on Seat,8,328.27,2626.16,2024-03-30,cancelled
ORD-050035,CUST-1079,GB,Team Plan,9,119.12,1072.08,2025-01-25,paid
ORD-050036,CUST-1113,IT,Add-on Seat,8,59.82,478.56,2024-07-10,paid
ORD-050037,CUST-1117,GB,Enterprise,4,397.87,1591.48,2025-01-22,paid
ORD-050038,CUST-1011,BR,Storage GB,4,70.98,283.92,2025-03-30,pending
ORD-050039,CUST-1025,PT,Team Plan,2,386.26,772.52,2025-04-03,pending
ORD-050040,CUST-1108,MX,Add-on Seat,3,46.44,139.32,2024-05-03,paid
ORD-050041,CUST-1021,FR,Team Plan,2,359.94,719.88,2025-05-13,shipped
ORD-050042,CUST-1033,IT,Pro Plan,8,407.63,3261.04,2024-06-06,paid
ORD-050043,CUST-1007,US,Training,9,271.37,2442.33,2024-05-02,shipped
ORD-050044,CUST-1029,US,Team Plan,7,100.48,703.36,2025-07-01,cancelled
ORD-050045,CUST-1000,IT,Enterprise,10,24.39,243.9,2025-02-07,paid
ORD-050046,CUST-1106,GB,Pro Plan,9,360.93,3248.37,2025-03-26,shipped
ORD-050047,CUST-1012,PT,Add-on Seat,3,302.72,908.16,2024-11-09,paid
ORD-050048,CUST-1031,US,Team Plan,5,156.34,781.7,2025-03-21,paid
ORD-050049,CUST-1104,BR,Pro Plan,8,486.16,3889.28,2024-01-06,paid
ORD-050050,CUST-1066,FR,Add-on Seat,9,405.22,3646.98,2025-07-02,shipped
ORD-050051,CUST-1084,MX,Enterprise,6,212.32,1273.92,2024-10-03,shipped
ORD-050052,CUST-1108,MX,Training,8,206.37,1650.96,2025-03-15,shipped
ORD-050053,CUST-1078,ES,Storage GB,2,440.78,881.56,2024-07-21,shipped
ORD-050054,CUST-1014,AR,Storage GB,10,421.47,4214.7,2025-05-30,paid
ORD-050055,CUST-1067,PT,Pro Plan,2,281.66,563.32,2025-08-08,paid
ORD-050056,CUST-1064,AR,Support,1,96.46,96.46,2025-06-24,paid
ORD-050057,CUST-1065,AR,Storage GB,8,496.04,3968.32,2024-11-15,paid
ORD-050058,CUST-1114,MX,Team Plan,6,330.56,1983.36,2025-04-17,refunded
ORD-050059,CUST-1001,FR,Storage GB,8,235.15,1881.2,2025-06-03,paid
ORD-050060,CUST-1070,FR,Training,8,115.79,926.32,2024-02-26,shipped
ORD-050061,CUST-1097,US,Storage GB,8,350.57,2804.56,2025-07-24,paid
ORD-050062,CUST-1025,PT,Add-on Seat,4,389.67,1558.68,2024-05-05,paid
ORD-050063,CUST-1023,DE,Support,4,107.44,429.76,2025-07-08,cancelled
ORD-050064,CUST-1031,US,Storage GB,4,333.06,1332.24,2025-01-04,paid
ORD-050065,CUST-1085,PT,Storage GB,4,386.96,1547.84,2024-09-30,paid
ORD-050066,CUST-1059,AR,Training,6,488.27,2929.62,2024-01-14,shipped
ORD-050067,CUST-1097,US,Pro Plan,5,73.2,366.0,2025-05-19,cancelled
ORD-050068,CUST-1026,DE,Support,10,111.69,1116.9,2025-03-23,paid
ORD-050069,CUST-1097,US,Training,4,434.89,1739.56,2025-06-03,shipped
ORD-050070,CUST-1042,FR,Training,1,498.97,498.97,2024-05-17,paid
ORD-050071,CUST-1064,AR,Training,8,90.2,721.6,2024-11-18,shipped
ORD-050072,CUST-1030,MX,Pro Plan,5,152.09,760.45,2025-08-13,paid
ORD-050073,CUST-1051,DE,Enterprise,10,184.93,1849.3,2025-05-26,pending
ORD-050074,CUST-1087,US,Enterprise,2,199.56,399.12,2025-06-12,paid
ORD-050075,CUST-1002,DE,Support,7,112.9,790.3,2025-02-07,shipped
ORD-050076,CUST-1060,BR,Support,5,102.8,514.0,2024-03-15,paid
